분류,개최년도,공모전명,홈페이지 내 삭제 여부
GD,2019,우수디자인(GD)상품선정,N
일반,2019,대한민국 디자인 전람회,N
청소년,2019,제27회 한국청소년디자인전람회,N
일반,2020,"대한민국디자인전람회(초대/추천,일반,대학(원)생)",N
GD,2020,2020년 우수디자인(GD)상품선정,N
청소년,2020,대한민국디자인전람회YOUTH,N
GD,2021,우수디자인(GD)상품선정,N
청소년,2021,대한민국디자인전람회(청소년),N
일반,2021,"대한민국디자인전람회(초대/추천,일반,대학(원)생)",N
일반,2022,"대한민국디자인전람회(초대/추천,일반,대학(원)생)",N
GD,2022,우수디자인상품선정,N
청소년,2022,대한민국디자인전람회(청소년),N
GD,2023,우수디자인(GD)상품선정,N
일반,2023,"대한민국디자인전람회(초대/추천,일반,대학(원)생)",N
청소년,2023,대한민국디자인전람회(청소년),N
청소년,2023,대한민국디자인전람회(청소년),Y
GD,2024,우수디자인(GD)상품 선정,N
청소년,2024,대한민국디자인전람회(청소년),N
일반,2024,"대한민국디자인전람회(초대/추천,일반,대학(원)생)",N
일반,2025,대한민국디자인전람회(일반·대학(원)생 / 초대·추천),N
청소년,2025,대한민국디자인전람회 (청소년),N
GD,2025,우수디자인(GD)상품선정,N
대상,2025,대한민국디자인대상,N
